"","grav_moist_percent","yvar","SE","df","LCL","UCL","tvar","xvar"
"91",450,6.58638686613753e-11,6.89548949482013e-10,Inf,2.22044604925031e-16,0.0509812924452458,"1",450
"92",455,4.95209949865235e-11,5.24554690423918e-10,Inf,2.22044604925031e-16,0.0489128598612102,"1",455
"93",460,3.72332964079814e-11,3.98986078400057e-10,Inf,2.22044604925031e-16,0.0469244385286895,"1",460
"94",465,2.79945578996875e-11,3.03436165798296e-10,Inf,2.22044604925031e-16,0.0450132477794713,"1",465
"95",470,2.10482376690442e-11,2.30738925826568e-10,Inf,2.22044604925031e-16,0.0431765782392961,"1",470
"96",475,1.58255154648023e-11,1.75436342869973e-10,Inf,2.22044604925031e-16,0.0414117921399658,"1",475
"97",480,1.18987130259701e-11,1.33371994991625e-10,Inf,2.22044604925031e-16,0.0397163234037235,"1",480
"98",485,8.94627236560742e-12,1.013811658831e-10,Inf,2.22044604925031e-16,0.0380876775205311,"1",485
"99",490,6.72642403131216e-12,7.70546049674829e-11,Inf,2.22044604925031e-16,0.0365234312377808,"1",490
"100",495,5.05738908899366e-12,5.85584662873045e-11,Inf,2.22044604925031e-16,0.0350212320809075,"1",495
"101",500,3.80249361003669e-12,4.44970917735302e-11,Inf,2.22044604925031e-16,0.0335787977222688,"1",500
